min_dst,max_dst,BX_RMSE,BY_RMSE,BZ_RMSE
-inf,-300,28.836347268846712,23.565637614766043,23.40000539275477
-300.0,-250.0,27.69173128965001,29.356404133278367,18.02858966903805
-250.0,-200.0,17.557816958939867,17.04919033001541,17.153848053142568
-200.0,-150.0,20.844465755484812,13.753279321865865,13.72986704680009
-150.0,-100.0,15.169802760082826,13.217148757746644,11.978074847997076
-100.0,-50.0,15.667088330132886,10.626070404084388,8.991882542113348
-50.0,0.0,15.544956962775494,9.434553512506923,8.184113540614323
0.0,50.0,16.23866746171528,9.747958963113561,8.235077294751836
50.0,inf,15.783758936129447,9.542153441843842,6.646013264182694

